Epic Key,Story Key,Título,Descrição,Critérios de Aceite,Prioridade,MoSCoW,Story Points,Dependências
E-SETUP,US-001,Provisionar ambientes e CI/CD,"Como engenheiro, quero pipelines de build/test/deploy para dev/staging/prod, para garantir releases confiáveis.","Dado PR com testes passando, quando mergeado em main, então deploy automático em staging; logs visíveis; rollback canário disponível.",P0,Must,13,
E-SETUP,US-002,"Observabilidade base (Sentry, OpenTelemetry, PostHog/GA4)","Como time, quero traçar erros, métricas e eventos, para monitorar saúde do produto.","Erros capturados, dashboards de performance e funis básicos configurados, amostragem definida.",P0,Must,5,US-001
E-SETUP,US-003,Tokens de design no Figma + repo,"Como designer, quero tokens sincronizados (light/dark), para garantir consistência visual.","Tokens importados no Figma Tokens Studio, mapeados para Tailwind/CSS vars; documentação de uso existente.",P1,Should,3,
E-AUTH,US-010,"Login/SSO (Google, LinkedIn, Email/OTP)","Como usuário, quero entrar com Google/LinkedIn/Email, para acessar rapidamente.","Fluxo completo com sessão, logout e política de cookies; testes e acessibilidade AA.",P0,Must,8,US-001
E-AUTH,US-011,"Billing Pagar.me (PIX, cartão, boleto)","Como membro, quero assinar e pagar anuidade, para acessar conteúdos premium.",Plano anual criado; checkout seguro; webhooks de pagamento; atualização de papéis; recibo enviado.,P0,Must,13,US-010
E-CONT,US-020,"Schemas CMS (Cursos, Materiais, Prompts, Ferramentas)","Como admin, quero gerenciar coleções no CMS, para publicar conteúdo.",Coleções e validações criadas; permissões; documentação de campos.,P0,Must,8,US-001
E-CONT,US-021,Listagens + filtros + detalhe (Cursos/Materiais/Prompts/Ferramentas),"Como membro, quero descobrir e consumir conteúdos por filtros/tags.",Listas com paginação; detalhe com metadados; download controlado para materiais; botão salvar.,P0,Must,13,US-020
E-CONT,US-022,Ingestão/curadoria (YouTube playlists + upload Masters),"Como curador, quero importar playlists e validar uploads de Masters.",Importador com preview; fila de moderação; logs; política de licença e takedown visível.,P1,Should,8,US-020
E-SEARCH,US-030,Meilisearch (full-text) com taxonomias,"Como membro, quero buscar por palavras-chave e filtrar por taxonomias.",Índices sincronizados; latência < 200ms; highlight; telemetry de busca.,P1,Should,5,US-021
E-SEARCH,US-031,Busca semântica (pgvector) e ranking híbrido,"Como membro, quero resultados relevantes mesmo sem termos exatos.",Embeddings gerados; ranking híbrido; logs de relevância; avaliação A/B em 5 consultas-chave.,P1,Should,8,US-030
E-FORUM,US-040,"Fórum Q&A (threads, respostas, upvotes, resposta aceita)","Como membro, quero perguntar e responder com marcação de resolvido.",CRUD de threads/respostas; upvote; resposta aceita; moderação básica; templates de pergunta/case.,P1,Should,13,US-021
E-FORUM,US-041,Reputação básica (pontos + badges iniciais),"Como comunidade, quero reconhecer contribuições de qualidade.",Esquema de pontos por ação; badges; exibição em perfil; prevenção a gaming.,P1,Should,5,US-040
E-EVENTS,US-050,Eventos (calendário + RSVP + ICS + lembretes),"Como membro, quero confirmar presença e receber lembretes.",Calendário mensal; detalhe do evento; RSVP; geração de .ics; e-mails Resend.,P1,Should,8,US-021
E-AGENTS,US-060,"Infra IA (providers, custos, cache, rate limits)","Como engenheiro, quero camada de orquestração segura e cacheável.",Ambiente seguro; métricas de custo; cache por hash; limites por usuário; logs de prompts.,P0,Must,8,US-001
E-AGENTS,US-061,RAG (pgvector) com conteúdos do portal,"Como usuário, quero respostas baseadas em conteúdo curado da comunidade.",Pipeline de embeddings; chunking; fonte citada; avaliação de precisão; fallback seguro.,P0,Must,8,"US-060,US-021"
E-AGENTS,US-062,Agente Trend Scout,"Como membro, quero ver temas quentes (7 dias) priorizados por potencial.",Busca multi-fonte; ranking; sumário; link de referências; latência p95 < 3s.,P0,Must,5,"US-060,US-061"
E-AGENTS,US-063,Agente Campaign Planner,"Como marketer, quero plano multicanal a partir de um brief.",Entrada de brief estruturado; plano por canal; budget; exportação.,P0,Must,8,US-060
E-AGENTS,US-064,Agente Creative Scorer,"Como equipe criativa, quero pontuar criativos e hipóteses A/B.",Entrada de criativos/descrições; score; insights; exemplos; export.,P1,Should,5,US-060
E-AGENTS,US-065,Agente SEO/Content Brief,"Como redator, quero um brief SEO acionável com headings e keywords.","Brief com Hs, keywords, links internos, exemplos de snippets.",P1,Should,5,US-060
E-AGENTS,US-066,Agente Data QA (UTM/GA4/GTM),"Como analista, quero auditar tagging e detectar problemas comuns.",Checklist de UTM; validações GTM; relatório com severidade.,P1,Should,8,US-060
E-MASTERS,US-070,Candidatura + avaliação + badge (Open Badges),"Como candidato Master, quero aplicar, ser avaliado e receber badge linkável.","Formulário, coleta de referências, painel do Board, badge emitido; vitrine pública.",P1,Should,13,US-021
E-ADMIN,US-080,"Painel Admin + Moderação (conteúdos, fórum, eventos)","Como admin, quero revisar e publicar/indeferir rapidamente.",Filas com filtros; ações em massa; audit log; permissões por papel.,P1,Should,8,"US-021,US-040,US-050"
E-LAUNCH,US-090,SEO técnico + sitemap/robots + OG,"Como equipe de growth, quero indexação e compartilhamento adequados.",Sitemap e robots generativos; metas OG/Twitter; page speed; core web vitals verdes.,P1,Should,5,US-021
E-LAUNCH,US-091,Plano de comunicação e eventos de lançamento,"Como marketing, quero roteiro de comunicações e cronograma de eventos.","Landing, e-mails, posts, parcerias, calendário; KPIs definidos.",P1,Should,3,US-050
